zcta,CBSASub20,Areaname20,safmr_0br,safmr_0br_90pct_pay_std,safmr_0br_110pct_pay_std,safmr_1br,safmr_1br_90pct_pay_std,safmr_1br_110pct_pay_std,safmr_2br,safmr_2br_90pct_pay_std,safmr_2br_110pct_pay_std,safmr_3br,safmr_3br_90pct_pay_std,safmr_3br_110pct_pay_std,safmr_4br,safmr_4br_90pct_pay_std,safmr_4br_110pct_pay_std
33002,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33010,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",970,873,1067,1150,1035,1265,1450,1305,1595,1930,1737,2123,2340,2106,2574
33011,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33012,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1050,945,1155,1250,1125,1375,1580,1422,1738,2100,1890,2310,2550,2295,2805
33013,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",970,873,1067,1150,1035,1265,1460,1314,1606,1940,1746,2134,2350,2115,2585
33014,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1150,1035,1265,1370,1233,1507,1730,1557,1903,2300,2070,2530,2790,2511,3069
33015,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1150,1035,1265,1360,1224,1496,1720,1548,1892,2290,2061,2519,2770,2493,3047
33016,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1120,1008,1232,1330,1197,1463,1680,1512,1848,2240,2016,2464,2710,2439,2981
33017,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33018,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1290,1161,1419,1530,1377,1683,1930,1737,2123,2570,2313,2827,3110,2799,3421
33023,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1000,900,1100,1170,1053,1287,1480,1332,1628,2140,1926,2354,2600,2340,2860
33030,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1040,936,1144,1310,1179,1441,1750,1575,1925,2120,1908,2332
33031,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1310,1179,1441,1560,1404,1716,1970,1773,2167,2620,2358,2882,3180,2862,3498
33032,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33033,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1130,1017,1243,1430,1287,1573,1900,1710,2090,2310,2079,2541
33034,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",880,792,968,1040,936,1144,1320,1188,1452,1760,1584,1936,2130,1917,2343
33035,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1200,1080,1320,1420,1278,1562,1800,1620,1980,2400,2160,2640,2900,2610,3190
33039,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",980,882,1078,1160,1044,1276,1470,1323,1617,1960,1764,2156,2380,2142,2618
33054,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",860,774,946,1040,936,1144,1310,1179,1441,1750,1575,1925,2120,1908,2332
33055,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1180,1062,1298,1400,1260,1540,1770,1593,1947,2360,2124,2596,2850,2565,3135
33056,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1070,963,1177,1270,1143,1397,1610,1449,1771,2140,1926,2354,2600,2340,2860
33090,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33092,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33101,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33109,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1630,1467,1793,1930,1737,2123,2440,2196,2684,3250,2925,3575,3930,3537,4323
33114,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33116,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33119,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33122,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1180,1062,1298,1390,1251,1529,1760,1584,1936,2340,2106,2574,2840,2556,3124
33124,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1290,1161,1419,1630,1467,1793,2170,1953,2387,2630,2367,2893
33125,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1000,900,1100,1190,1071,1309,1500,1350,1650,2000,1800,2200,2420,2178,2662
33126,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1170,1053,1287,1380,1242,1518,1750,1575,1925,2330,2097,2563,2820,2538,3102
33127,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",880,792,968,1040,936,1144,1320,1188,1452,1760,1584,1936,2130,1917,2343
33128,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",860,774,946,1040,936,1144,1310,1179,1441,1750,1575,1925,2120,1908,2332
33129,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1530,1377,1683,1810,1629,1991,2290,2061,2519,3050,2745,3355,3690,3321,4059
33130,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",990,891,1089,1170,1053,1287,1480,1332,1628,1970,1773,2167,2390,2151,2629
33131,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1630,1467,1793,1930,1737,2123,2440,2196,2684,3250,2925,3575,3930,3537,4323
33132,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1630,1467,1793,1930,1737,2123,2440,2196,2684,3250,2925,3575,3930,3537,4323
33133,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1210,1089,1331,1440,1296,1584,1820,1638,2002,2420,2178,2662,2940,2646,3234
33134,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1220,1098,1342,1450,1305,1595,1830,1647,2013,2440,2196,2684,2950,2655,3245
33135,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",970,873,1067,1150,1035,1265,1460,1314,1606,1940,1746,2134,2350,2115,2585
33136,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",860,774,946,1040,936,1144,1310,1179,1441,1750,1575,1925,2120,1908,2332
