zcta,CBSASub20,Areaname20,safmr_0br,safmr_0br_90pct_pay_std,safmr_0br_110pct_pay_std,safmr_1br,safmr_1br_90pct_pay_std,safmr_1br_110pct_pay_std,safmr_2br,safmr_2br_90pct_pay_std,safmr_2br_110pct_pay_std,safmr_3br,safmr_3br_90pct_pay_std,safmr_3br_110pct_pay_std,safmr_4br,safmr_4br_90pct_pay_std,safmr_4br_110pct_pay_std
33002,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33010,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",810,729,891,990,891,1089,1260,1134,1386,1670,1503,1837,2020,1818,2222
33011,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33012,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",880,792,968,1080,972,1188,1370,1233,1507,1830,1647,2013,2210,1989,2431
33013,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",790,711,869,970,873,1067,1230,1107,1353,1640,1476,1804,1980,1782,2178
33014,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",940,846,1034,1150,1035,1265,1460,1314,1606,1950,1755,2145,2350,2115,2585
33015,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",970,873,1067,1180,1062,1298,1500,1350,1650,1990,1791,2189,2410,2169,2651
33016,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",930,837,1023,1140,1026,1254,1450,1305,1595,1920,1728,2112,2330,2097,2563
33017,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33018,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1020,918,1122,1250,1125,1375,1580,1422,1738,2100,1890,2310,2540,2286,2794
33023,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",890,801,979,1090,981,1199,1400,1260,1540,2030,1827,2233,2460,2214,2706
33030,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",750,675,825,920,828,1012,1170,1053,1287,1560,1404,1716,1870,1683,2057
33031,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1100,990,1210,1340,1206,1474,1700,1530,1870,2270,2043,2497,2740,2466,3014
33032,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",900,810,990,1110,999,1221,1400,1260,1540,1870,1683,2057,2260,2034,2486
33033,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",830,747,913,1020,918,1122,1290,1161,1419,1720,1548,1892,2080,1872,2288
33034,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",750,675,825,920,828,1012,1170,1053,1287,1560,1404,1716,1870,1683,2057
33035,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",970,873,1067,1180,1062,1298,1500,1350,1650,2000,1800,2200,2410,2169,2651
33039,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33054,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",750,675,825,920,828,1012,1170,1053,1287,1560,1404,1716,1870,1683,2057
33055,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",930,837,1023,1140,1026,1254,1450,1305,1595,1920,1728,2112,2330,2097,2563
33056,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",910,819,1001,1120,1008,1232,1410,1269,1551,1880,1692,2068,2280,2052,2508
33090,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33092,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33101,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33109,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33114,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33116,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33119,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33122,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33124,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33125,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",820,738,902,1000,900,1100,1270,1143,1397,1690,1521,1859,2050,1845,2255
33126,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",940,846,1034,1150,1035,1265,1460,1314,1606,1940,1746,2134,2350,2115,2585
33127,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",750,675,825,920,828,1012,1170,1053,1287,1560,1404,1716,1870,1683,2057
33128,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",750,675,825,920,828,1012,1170,1053,1287,1560,1404,1716,1870,1683,2057
33129,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1130,1017,1243,1390,1251,1529,1760,1584,1936,2340,2106,2574,2830,2547,3113
33130,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",800,720,880,980,882,1078,1240,1116,1364,1650,1485,1815,2000,1800,2200
33131,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1310,1179,1441,1600,1440,1760,2030,1827,2233,2690,2421,2959,3260,2934,3586
33132,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1310,1179,1441,1600,1440,1760,2030,1827,2233,2690,2421,2959,3260,2934,3586
33133,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1000,900,1100,1220,1098,1342,1540,1386,1694,2050,1845,2255,2480,2232,2728
33134,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1000,900,1100,1230,1107,1353,1550,1395,1705,2070,1863,2277,2500,2250,2750
33135,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",810,729,891,990,891,1089,1250,1125,1375,1660,1494,1826,2010,1809,2211
33136,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",750,675,825,920,828,1012,1170,1053,1287,1560,1404,1716,1870,1683,2057
33137,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",990,891,1089,1210,1089,1331,1530,1377,1683,2040,1836,2244,2470,2223,2717
33138,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",790,711,869,970,873,1067,1230,1107,1353,1630,1467,1793,1980,1782,2178
33139,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1310,1179,1441,1600,1440,1760,2030,1827,2233,2690,2421,2959,3260,2934,3586
33140,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1240,1116,1364,1520,1368,1672,1930,1737,2123,2570,2313,2827,3110,2799,3421
33141,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1020,918,1122,1240,1116,1364,1580,1422,1738,2100,1890,2310,2540,2286,2794
33142,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",750,675,825,920,828,1012,1170,1053,1287,1560,1404,1716,1870,1683,2057
33143,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1020,918,1122,1250,1125,1375,1580,1422,1738,2100,1890,2310,2550,2295,2805
33144,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",850,765,935,1040,936,1144,1310,1179,1441,1750,1575,1925,2120,1908,2332
33145,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",970,873,1067,1190,1071,1309,1500,1350,1650,2000,1800,2200,2420,2178,2662
33146,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1310,1179,1441,1600,1440,1760,2030,1827,2233,2690,2421,2959,3260,2934,3586
33147,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",750,675,825,920,828,1012,1170,1053,1287,1560,1404,1716,1870,1683,2057
33149,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1310,1179,1441,1600,1440,1760,2030,1827,2233,2690,2421,2959,3260,2934,3586
33150,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",750,675,825,920,828,1012,1170,1053,1287,1560,1404,1716,1870,1683,2057
33152,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33153,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33154,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1170,1053,1287,1440,1296,1584,1820,1638,2002,2420,2178,2662,2930,2637,3223
33155,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1070,963,1177,1300,1170,1430,1650,1485,1815,2200,1980,2420,2660,2394,2926
33156,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1030,927,1133,1260,1134,1386,1600,1440,1760,2120,1908,2332,2570,2313,2827
33157,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",780,702,858,960,864,1056,1220,1098,1342,1620,1458,1782,1960,1764,2156
33158,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33160,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1190,1071,1309,1460,1314,1606,1850,1665,2035,2460,2214,2706,2980,2682,3278
33161,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",860,774,946,1050,945,1155,1330,1197,1463,1770,1593,1947,2140,1926,2354
33162,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",860,774,946,1050,945,1155,1330,1197,1463,1770,1593,1947,2140,1926,2354
33163,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33164,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1070,963,1177,1350,1215,1485,1800,1620,1980,2170,1953,2387
33165,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",930,837,1023,1140,1026,1254,1450,1305,1595,1930,1737,2123,2330,2097,2563
33166,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",990,891,1089,1210,1089,1331,1530,1377,1683,2040,1836,2244,2470,2223,2717
33167,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",800,720,880,980,882,1078,1240,1116,1364,1650,1485,1815,2000,1800,2200
33168,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",840,756,924,1030,927,1133,1310,1179,1441,1740,1566,1914,2100,1890,2310
33169,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",800,720,880,980,882,1078,1240,1116,1364,1650,1485,1815,2000,1800,2200
33170,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",910,819,1001,1110,999,1221,1410,1269,1551,1870,1683,2057,2270,2043,2497
33172,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1030,927,1133,1260,1134,1386,1600,1440,1760,2130,1917,2343,2580,2322,2838
33173,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1040,936,1144,1270,1143,1397,1610,1449,1771,2140,1926,2354,2590,2331,2849
33174,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",930,837,1023,1140,1026,1254,1440,1296,1584,1920,1728,2112,2320,2088,2552
33175,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1070,963,1177,1310,1179,1441,1660,1494,1826,2200,1980,2420,2670,2403,2937
