zcta,CBSASub20,Areaname20,safmr_0br,safmr_0br_90pct_pay_std,safmr_0br_110pct_pay_std,safmr_1br,safmr_1br_90pct_pay_std,safmr_1br_110pct_pay_std,safmr_2br,safmr_2br_90pct_pay_std,safmr_2br_110pct_pay_std,safmr_3br,safmr_3br_90pct_pay_std,safmr_3br_110pct_pay_std,safmr_4br,safmr_4br_90pct_pay_std,safmr_4br_110pct_pay_std
33143,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1320,1188,1452,1670,1503,1837,2220,1998,2442,2700,2430,2970
33144,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",940,846,1034,1130,1017,1243,1430,1287,1573,1900,1710,2090,2320,2088,2552
33145,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1060,954,1166,1280,1152,1408,1620,1458,1782,2150,1935,2365,2620,2358,2882
33146,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1430,1287,1573,1720,1548,1892,2180,1962,2398,2900,2610,3190,3530,3177,3883
33147,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",800,720,880,970,873,1067,1230,1107,1353,1640,1476,1804,1990,1791,2189
33149,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1430,1287,1573,1720,1548,1892,2180,1962,2398,2900,2610,3190,3530,3177,3883
33150,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",790,711,869,960,864,1056,1220,1098,1342,1620,1458,1782,1960,1764,2156
33152,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33153,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33154,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1330,1197,1463,1600,1440,1760,2030,1827,2233,2700,2430,2970,3290,2961,3619
33155,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1120,1008,1232,1350,1215,1485,1710,1539,1881,2270,2043,2497,2770,2493,3047
33156,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1160,1044,1276,1400,1260,1540,1780,1602,1958,2370,2133,2607,2880,2592,3168
33157,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",860,774,946,1040,936,1144,1320,1188,1452,1760,1584,1936,2140,1926,2354
33158,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33160,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1320,1188,1452,1590,1431,1749,2020,1818,2222,2690,2421,2959,3270,2943,3597
33161,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",920,828,1012,1110,999,1221,1410,1269,1551,1880,1692,2068,2280,2052,2508
33162,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",920,828,1012,1100,990,1210,1400,1260,1540,1860,1674,2046,2270,2043,2497
33163,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33164,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33165,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1010,909,1111,1220,1098,1342,1550,1395,1705,2060,1854,2266,2510,2259,2761
33166,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1060,954,1166,1280,1152,1408,1620,1458,1782,2150,1935,2365,2620,2358,2882
33167,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",890,801,979,1070,963,1177,1360,1224,1496,1810,1629,1991,2200,1980,2420
33168,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1150,1035,1265,1460,1314,1606,1940,1746,2134,2360,2124,2596
33169,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",880,792,968,1060,954,1166,1350,1215,1485,1800,1620,1980,2190,1971,2409
33170,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",970,873,1067,1170,1053,1287,1480,1332,1628,1970,1773,2167,2400,2160,2640
33172,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1120,1008,1232,1350,1215,1485,1710,1539,1881,2270,2043,2497,2770,2493,3047
33173,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1120,1008,1232,1350,1215,1485,1710,1539,1881,2270,2043,2497,2770,2493,3047
33174,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1000,900,1100,1210,1089,1331,1530,1377,1683,2040,1836,2244,2480,2232,2728
33175,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1150,1035,1265,1390,1251,1529,1760,1584,1936,2340,2106,2574,2850,2565,3135
33176,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1310,1179,1441,1660,1494,1826,2210,1989,2431,2690,2421,2959
33177,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1090,981,1199,1320,1188,1452,1670,1503,1837,2220,1998,2442,2700,2430,2970
33178,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1430,1287,1573,1720,1548,1892,2180,1962,2398,2900,2610,3190,3530,3177,3883
33179,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33180,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1430,1287,1573,1720,1548,1892,2180,1962,2398,2900,2610,3190,3530,3177,3883
33181,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1040,936,1144,1250,1125,1375,1590,1431,1749,2120,1908,2332,2570,2313,2827
33182,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1410,1269,1551,1700,1530,1870,2160,1944,2376,2870,2583,3157,3500,3150,3850
33183,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1100,990,1210,1320,1188,1452,1680,1512,1848,2230,2007,2453,2720,2448,2992
33184,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1110,999,1221,1330,1197,1463,1690,1521,1859,2250,2025,2475,2740,2466,3014
33185,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1430,1287,1573,1720,1548,1892,2180,1962,2398,2900,2610,3190,3530,3177,3883
33186,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1190,1071,1309,1440,1296,1584,1820,1638,2002,2420,2178,2662,2950,2655,3245
33187,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33189,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",860,774,946,1040,936,1144,1320,1188,1452,1760,1584,1936,2140,1926,2354
33190,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33193,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1030,927,1133,1250,1125,1375,1580,1422,1738,2100,1890,2310,2560,2304,2816
33194,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1430,1287,1573,1720,1548,1892,2180,1962,2398,2900,2610,3190,3530,3177,3883
33196,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1230,1107,1353,1480,1332,1628,1880,1692,2068,2500,2250,2750,3040,2736,3344
33197,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33222,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33231,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33233,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33234,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33238,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33239,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33242,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33243,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33245,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33247,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33255,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33256,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33257,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33261,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33265,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33266,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33269,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33280,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33283,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33296,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
